EAN,REFERENZA_DES,SEGMENTO_DES,OCCUSO_DES,TIER
8001480302334,Progressi Mini VP,Progressi,Pannolini,TIER1
8001480302778,Progressi Mini Triopack,Progressi,Pannolini,TIER1
8001480302891,Progressi Mini Penta,Progressi,Pannolini,TIER1
8001480302969,BD Extralarge Esa,Baby dry,Pannolini,TIER2
8001480303324,BD Esapack Junior,Baby dry,Pannolini,TIER2
8001480303379,Pampers Baby Midi CP,Pampers Baby,Pannolini,NO TIER
8001480303386,Pampers Baby Maxi CP,Pampers Baby,Pannolini,NO TIER
8001480303393,Pampers Baby Junior CP,Pampers Baby,Pannolini,NO TIER
8001480303409,Pampers Baby XL CP,Pampers Baby,Pannolini,NO TIER
8001480303454,PMP Naturello Newborn CP,Naturello,Pannolini,TIER1
8001480303515,BD Extralarge Jumbo,Baby dry,Pannolini,TIER2
8001480303522,BD Penta Midi,Baby dry,Pannolini,TIER2
8001480303539,BD Penta Maxi,Baby dry,Pannolini,TIER2
8001480303546,BD Penta Junior,Baby dry,Pannolini,TIER2
8001480303553,BD Penta XL,Baby dry,Pannolini,TIER2
8001480303751,Sluna Junior VP,Soleluna,Pannolini,TIER3
8001480303768,Sluna Maxi VP,Soleluna,Pannolini,TIER3
8001480303775,Sluna XL VP,Soleluna,Pannolini,TIER3
8001480303782,Sluna Midi VP,Soleluna,Pannolini,TIER3
8001480303904,BD Mutandino Penta XL,Baby Dry Mutandino,Pannolini,TIER2
8001480303911,BD Newborn DWCT,Baby dry,Pannolini,TIER2
8001480304024,SL Mutandino CP Junior,Soleluna Mutandino,Pannolini,TIER3
8001480304031,SL Mutandino CP Maxi,Soleluna Mutandino,Pannolini,TIER3
8001480304048,SL Mutandino CP XL,Soleluna Mutandino,Pannolini,TIER3
8001480304109,BD Mutandino VP XXL,Baby Dry Mutandino,Pannolini,TIER2
8001480304116,BD Mutandino SP XXL,Baby Dry Mutandino,Pannolini,TIER2
8001480304475,BD Mutandino CP XXL,Baby Dry Mutandino,Pannolini,TIER2
8001480304703,BD Mutandino Esa Junior,Baby Dry Mutandino,Pannolini,TIER2
8001480304932,BD Mutandino Penta Maxi,Baby Dry Mutandino,Pannolini,TIER2
8001480305106,Acqua Pura Wipes Quadri,Acqua Pura,Wipes,TIER1
8001480305304,Sluna XL VP,Soleluna,Pannolini,TIER3
8001480305311,Sluna Midi VP,Soleluna,Pannolini,TIER3
8001480305328,Sluna Maxi VP,Soleluna,Pannolini,TIER3
8001480305335,Sluna Junior VP,Soleluna,Pannolini,TIER3
8001480305373,BD Penta Maxi,Baby dry,Pannolini,TIER2
8001480305380,BD Penta Junior,Baby dry,Pannolini,TIER2
8001480305397,BD Esapack Maxi,Baby dry,Pannolini,TIER2
8001480305403,BD Esapack Junior,Baby dry,Pannolini,TIER2
8001480305410,BD Jumbopack Maxi,Baby dry,Pannolini,TIER2
8001480305427,BD Jumbopack Junior,Baby dry,Pannolini,TIER2
8001480305441,BD Maxi Quadri,Baby dry,Pannolini,TIER2
8001480305458,BD Maxi CP,Baby dry,Pannolini,TIER2
8001480305465,BD Maxi Quadri Downcount,Baby dry,Pannolini,TIER2
8001480305472,BD Junior Quadri Downcount,Baby dry,Pannolini,TIER2
8001480305496,Green Gen. Insert Normal,Green Generation,Pannolini,TIER1
8001480305502,Green Gen. Insert Extra,Green Generation,Pannolini,TIER1
8001480305557,BD Maxi Downcount,Baby dry,Pannolini,TIER2
8001480305564,BD Junior Downcount,Baby dry,Pannolini,TIER2
8001480305571,BD Junior CP,Baby dry,Pannolini,TIER2
8001480305588,BD Maxi VP,Baby dry,Pannolini,TIER2
8001480305595,BD Junior VP,Baby dry,Pannolini,TIER2
8001480305601,BD 2 X DWCT MAXI,Baby dry,Pannolini,TIER2
8001480305618,BD 2 X DWCT JUNIOR,Baby dry,Pannolini,TIER2
8001480305625,BD 3 X DWCT MAXI,Baby dry,Pannolini,TIER2
8001480305632,BD 3 X DWCT JUNIOR,Baby dry,Pannolini,TIER2
8001480305649,BD Junior Quadri,Baby dry,Pannolini,TIER2
8001480306035,Progressi Mini e-commerce,Progressi,Pannolini,TIER1
8001480306042,Progressi Midi e-commerce,Progressi,Pannolini,TIER1
8001480306059,Progressi Maxi e-commerce,Progressi,Pannolini,TIER1
8001480306066,Progressi Junior e-commerce,Progressi,Pannolini,TIER1
8001480306073,Progressi Large e-commerce,Progressi,Pannolini,TIER1
8001480306097,Progr. Mut. Maxi e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306103,Progr. Mut. Junior e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306110,Progr. Mut. XL e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306127,Progr. Mut. Midi e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306219,BD Mutandino VP Midi e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306226,BD Mutandino VP Maxi e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306233,BD Mutandino VP XXL e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306240,BD Mutandino VP Junior e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306257,BD Mutandino VP XL e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306264,Green Gen. Trial Kit,Green Generation,Pannolini,TIER1
8001480600003,Gigapack,Baby Fresh,Wipes,TIER2
8001480600201,Acqua Pura Wipes Carry Pack,Acqua Pura,Wipes,TIER1
8001480600287,Sole e Luna x 46/50,SoleeLuna Wipes,Wipes,TIER3
8001480600300,Sensitive quadri,Sensitive,Wipes,TIER1
8001480600324,Acqua Pura Wipes Penta,Acqua Pura,Wipes,TIER1
8001480601192,Sensitive Esapack,Sensitive,Wipes,TIER1
8001480785526,Sluna Junior VP,Soleluna,Pannolini,TIER3
8410175053237,Biscotti solubili 1x320 gr,Biscotti,Biscotti solubili,NO TIER
