datarichiestapremio,id_player,nomepremio,puntipremio,tipopremio,formatPremio,deliveryMode
2021-11-11,20606.0,Banco lavoro,16000,basic,physical,home
2021-12-28,20606.0,5€ Buono sconto Pampers,5500,basic,physical,home
2021-07-16,49552.0,Buono sconto Semiperdo,3000,gift,digital,email
2021-12-17,49552.0,10€ Buono sconto Pampers,9000,basic,physical,home
2021-12-17,49552.0,15€ Buono sconto Pampers,12000,basic,physical,home
2021-03-27,49552.0,Buono sconto Carrera,1000,gift,digital,email
2021-03-27,49552.0,Buono sconto MyMi,9000,gift,digital,email
2021-03-27,49552.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2022-01-07,49552.0,Buono Sconto Leolandia,0,special,digital,email
2022-09-07,904962.0,A pesca,5500,basic,physical,home
2022-01-17,1386034.0,5€ Buono sconto Pampers,5500,basic,physical,home
2021-11-30,401536.0,Cucina,16000,basic,physical,home
2021-05-18,401536.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2022-01-14,401536.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-15,221066.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-15,221066.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-12-09,221066.0,Supermercato,14500,basic,physical,home
2022-06-08,221066.0,Quad Racer Elettrico,25000,basic,physical,home
2022-01-30,363996.0,Supermercato,14500,basic,physical,home
2022-01-21,42758.0,Buono Sconto Photosì,3000,gift,digital,email
2021-12-05,547954.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-11-13,547954.0,5€ Buono sconto Pampers,5500,basic,physical,home
2021-10-01,547954.0,Buono sconto My Sweetie Pie,3000,gift,digital,email
2022-01-03,547954.0,Buono Sconto Leolandia,0,special,digital,email
2021-12-30,1217786.0,Buono Sconto Photosì,3000,gift,digital,email
2021-12-30,1217786.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-06,1217786.0,Flashcards della buonanotte,6000,basic,physical,home
2022-01-12,87608.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-12,87608.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-07-08,87608.0,Buono sconto Playmobil,6000,gift,digital,email
2021-04-26,483980.0,Buono sconto Carrera,1000,gift,digital,email
2022-01-27,69566.0,Cavallino gonfiabile,9500,basic,physical,home
2021-09-13,69566.0,Trattore,21000,basic,physical,home
2022-01-01,69566.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-01,69566.0,Buono Sconto Photosì,3000,gift,digital,email
2021-11-19,69566.0,Buono Sconto Leolandia,1000,gift,digital,email
2021-11-19,69566.0,Buono Sconto Landoloux,9000,gift,digital,email
2022-01-22,976000.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-18,976000.0,Buono Sconto Leolandia,0,special,digital,email
2021-08-26,600336.0,Supermercato,14500,basic,physical,home
2021-11-14,208408.0,Primi Passi,12500,basic,physical,home
2022-05-27,208408.0,Quad Racer Elettrico,25000,basic,physical,home
2022-08-02,208408.0,Kit Green Generation,0,special,physical,home
2021-12-16,1095620.0,Playset Aereo,9500,basic,physical,home
2021-12-30,959892.0,20€ Buono sconto Pampers,14500,basic,physical,home
2021-06-02,959892.0,10€ Coupon Hero*,0,special,physical,home
2022-01-22,98322.0,Valigetta del dottore,8000,basic,physical,home
2021-08-06,919376.0,Buono sconto My Sweetie Pie,3000,gift,digital,email
2021-12-11,919376.0,Supermercato,14500,basic,physical,home
2022-01-29,1376796.0,Calendario personalizzato,5500,basic,digital,email
2022-01-15,158472.0,10€ Buono sconto Pampers,9000,basic,physical,home
2021-06-22,437970.0,Valigetta del dottore,8000,basic,physical,home
2021-11-26,531584.0,Banco lavoro,16000,basic,physical,home
2021-12-11,60276.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-24,60276.0,Cucina,16000,basic,physical,home
2022-01-31,323942.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-31,323942.0,Primi Passi,12500,basic,physical,home
2022-01-11,133918.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-11,133918.0,Valigetta del dottore,8000,basic,physical,home
2022-01-06,432328.0,Cucina,16000,basic,physical,home
2021-11-17,432328.0,Velocipede,18000,basic,physical,home
2022-01-09,541220.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-19,53974.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-27,53974.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-28,53974.0,Velocipede Personalizzato,18000,basic,physical,home
2021-03-31,173268.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2021-12-25,173268.0,Registratore di cassa,7000,basic,physical,home
2021-12-02,504732.0,Casetta Pretty,25000,basic,physical,home
2022-01-15,1178756.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-04-22,603142.0,Buono sconto Carrera,1000,gift,digital,email
2022-01-18,603142.0,Banco lavoro,16000,basic,physical,home
2022-01-31,1469120.0,Valigetta del dottore,8000,basic,physical,home
2022-01-31,89244.0,Banco lavoro,16000,basic,physical,home
2021-12-08,447400.0,Velocipede Personalizzato,18000,basic,physical,home
2022-01-21,408226.0,15€ Buono sconto Pampers,12000,basic,physical,home
2021-07-30,173548.0,Buono sconto Playmobil,6000,gift,digital,email
2021-08-02,167782.0,Cucina,16000,basic,physical,home
2022-01-03,485340.0,Tazza personalizzata con foto,10000,basic,digital,email
2021-12-17,143088.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-30,157688.0,Cucina,16000,basic,physical,home
2022-01-30,157688.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-30,157688.0,Buono Sconto Leolandia,0,special,digital,email
2021-10-28,521018.0,Casetta Pretty,25000,basic,physical,home
2021-08-13,468356.0,Buono sconto Carrera,1000,gift,digital,email
2022-01-30,1016172.0,Velocipede,18000,basic,physical,home
2022-01-31,550268.0,Calendario personalizzato,5500,basic,digital,email
2022-01-31,550268.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-03,40816.0,Cucina,16000,basic,physical,home
2021-06-21,40816.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-23,40762.0,Primi Passi,12500,basic,physical,home
2022-01-22,437114.0,Valigetta del dottore,8000,basic,physical,home
2021-12-08,210110.0,Flashcards della buonanotte,6000,basic,physical,home
2021-12-24,210110.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-07-31,210110.0,Casetta Pretty,25000,basic,physical,home
2021-12-22,363768.0,Velocipede Personalizzato,18000,basic,physical,home
2021-05-03,363768.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-17,214112.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-17,214112.0,Valigetta del dottore,8000,basic,physical,home
2021-07-10,1365614.0,Pochette summer,0,special,physical,home
2021-07-13,921682.0,Calendario personalizzato,5500,basic,digital,email
2021-07-16,399872.0,Buono sconto Semiperdo,3000,gift,digital,email
2022-01-31,466212.0,Playset Aereo,9500,basic,physical,home
2022-01-31,466212.0,Valigetta del dottore,8000,basic,physical,home
2021-11-30,96208.0,Cucina,16000,basic,physical,home
2021-12-03,278078.0,Calendario personalizzato,5500,basic,digital,email
2021-11-28,476158.0,Bicicletta,21000,basic,physical,home
2021-08-09,351316.0,Cucina,16000,basic,physical,home
2021-08-09,351316.0,Cavallino gonfiabile,9500,basic,physical,home
2021-08-26,351316.0,Buono sconto My Sweetie Pie,3000,gift,digital,email
2022-01-19,354270.0,Registratore di cassa,7000,basic,physical,home
2022-01-31,354270.0,Calendario personalizzato,5500,basic,digital,email
2022-01-26,1401728.0,Calendario personalizzato,5500,basic,digital,email
2021-08-04,1157598.0,Buono sconto Carrera,1000,gift,digital,email
2022-01-22,564530.0,Bicicletta,21000,basic,physical,home
2022-01-30,522832.0,Bicicletta,21000,basic,physical,home
2022-01-17,1455232.0,Registratore di cassa,7000,basic,physical,home
2022-01-13,1455232.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-29,698872.0,Supermercato,14500,basic,physical,home
2022-01-29,698872.0,Valigetta del dottore,8000,basic,physical,home
2021-04-12,388228.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2021-12-20,388228.0,Banco lavoro,16000,basic,physical,home
2022-01-05,208408.0,Bicicletta,21000,basic,physical,home
2021-11-27,691250.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-29,292600.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-25,292600.0,Supermercato,14500,basic,physical,home
2022-01-29,299598.0,Velocipede Personalizzato,18000,basic,physical,home
2022-01-07,1507470.0,Inventa favole Montessori,6000,basic,physical,home
2022-01-27,1506024.0,Registratore di cassa,7000,basic,physical,home
2021-11-13,159928.0,Buono Sconto Leolandia,1000,gift,digital,email
2021-10-25,159928.0,Primi Passi Personalizzata,12500,basic,physical,home
2022-01-24,159928.0,Valigetta del dottore,8000,basic,physical,home
2022-01-24,159928.0,Buono Sconto Leolandia,0,special,digital,email
2021-12-09,683790.0,Flashcards della buonanotte,6000,basic,physical,home
2022-01-12,320654.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-26,320654.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-30,1070734.0,Bicicletta Personalizzata,21000,basic,physical,home
2022-01-08,944498.0,Cucina,16000,basic,physical,home
2022-01-08,944498.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-31,944498.0,Calendario personalizzato,5500,basic,digital,email
2022-01-28,633536.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-30,633536.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-16,1049500.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-29,1429054.0,Registratore di cassa,7000,basic,physical,home
2021-08-14,1422780.0,Pochette summer,0,special,physical,home
2021-12-08,1240866.0,10€ Buono sconto Pampers,9000,basic,physical,home
2022-01-03,1160532.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-24,1160532.0,Supermercato,14500,basic,physical,home
2022-01-16,456496.0,Bicicletta,21000,basic,physical,home
2021-08-10,304638.0,Valigetta del dottore,8000,basic,physical,home
2021-05-11,451184.0,Buono sconto Playmobil,6000,gift,digital,email
2022-01-20,451184.0,15€ Buono sconto Pampers,12000,basic,physical,home
2022-01-16,1039786.0,Valigetta del dottore,8000,basic,physical,home
2022-01-31,530572.0,Trattore,21000,basic,physical,home
2022-01-23,586258.0,Primi Passi,12500,basic,physical,home
2022-01-14,314718.0,Casetta Pretty,25000,basic,physical,home
2022-01-31,57838.0,Inventa favole Montessori,6000,basic,physical,home
2022-01-31,57838.0,Inventa favole Montessori,6000,basic,physical,home
2021-10-08,394310.0,Inventa favole Montessori,6000,basic,physical,home
2021-03-13,394310.0,1 mese di FitPrime TV,5500,basic,digital,email
2021-12-26,507782.0,Calendario personalizzato,5500,basic,digital,email
2021-10-13,113648.0,Velocipede,18000,basic,physical,home
2021-08-03,217270.0,Registratore di cassa,7000,basic,physical,home
2022-01-10,217270.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-13,217270.0,Inventa favole Montessori,6000,basic,physical,home
2021-12-29,371796.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2021-04-24,629856.0,Buono sconto Carrera,1000,gift,digital,email
2021-05-12,629856.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2022-01-06,629856.0,Tazza personalizzata con foto,10000,basic,digital,email
2022-07-29,1654386.0,Kit Green Generation,0,special,physical,home
2022-01-14,556684.0,Registratore di cassa,7000,basic,physical,home
2022-01-24,1451140.0,Registratore di cassa,7000,basic,physical,home
2022-01-30,424314.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-30,424314.0,20€ Buono sconto Pampers,14500,basic,physical,home
2022-01-30,223642.0,Casetta Pretty,25000,basic,physical,home
2022-09-02,223642.0,Playset Aereo,9000,basic,physical,home
2021-11-14,902918.0,Cucina,16000,basic,physical,home
2021-11-14,902918.0,Valigetta del dottore,8000,basic,physical,home
2022-01-31,913610.0,20€ Buono sconto Pampers,14500,basic,physical,home
2021-12-26,567878.0,Buono Sconto Photosì,3000,gift,digital,email
2021-12-26,567878.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-17,567878.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-31,567878.0,5€ Buono sconto Pampers,5500,basic,physical,home
2022-01-31,567878.0,20€ Buono sconto Pampers,14500,basic,physical,home
2022-01-15,486832.0,15€ Buono sconto Pampers,12000,basic,physical,home
2022-01-23,308710.0,Clinica Veterinaria,12500,basic,physical,home
2021-04-30,1201820.0,Festa della Mamma: Pochette,0,special,physical,home
2021-05-01,127450.0,Primi Passi Personalizzata,12500,basic,physical,home
2021-05-01,127450.0,Cavallino gonfiabile,9500,basic,physical,home
2021-03-20,942738.0,Buono sconto Carrera,1000,gift,digital,email
2022-01-30,942738.0,Supermercato,14500,basic,physical,home
2021-06-09,604690.0,Buono sconto Playmobil,6000,gift,digital,email
2022-01-02,604690.0,Bicicletta,21000,basic,physical,home
2022-01-11,494250.0,Primi Passi,12500,basic,physical,home
2022-01-11,494250.0,Primi Passi,12500,basic,physical,home
2021-05-12,494250.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2021-12-01,180084.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-12-01,180084.0,Buono Sconto Zac4Kids,3000,gift,digital,email
2021-12-01,180084.0,Buono Sconto Landoloux,9000,gift,digital,email
2022-01-01,1347428.0,Supermercato,14500,basic,physical,home
2022-07-12,1347428.0,Scrivania,14500,basic,physical,home
2021-12-05,532974.0,Cucina,16000,basic,physical,home
2021-04-27,507946.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2022-01-03,507946.0,Casetta Pretty,25000,basic,physical,home
2021-05-12,504176.0,Calendario personalizzato,5500,basic,digital,email
2021-11-13,504176.0,Tazza personalizzata con foto,10000,basic,digital,email
2022-05-29,504176.0,A pesca,5500,basic,physical,home
2021-04-26,65888.0,Buono sconto Playmobil,6000,gift,digital,email
2021-12-12,65888.0,Registratore di cassa,7000,basic,physical,home
2021-12-15,153572.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2021-08-10,169042.0,Cucina,16000,basic,physical,home
2021-11-09,169042.0,Playset Aereo,9500,basic,physical,home
2022-01-05,1442752.0,Buono Sconto Leolandia,0,special,digital,email
2022-08-17,1442752.0,Xilofono,12000,basic,physical,home
2022-06-24,1442752.0,Bicicletta,23000,basic,physical,home
2021-11-30,961164.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-06,961164.0,Valigetta del dottore,8000,basic,physical,home
2021-10-29,527846.0,Inventa favole Montessori,6000,basic,physical,home
2021-06-22,250186.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-07,1404384.0,Valigetta del dottore,8000,basic,physical,home
2021-12-28,1419338.0,Velocipede,18000,basic,physical,home
2021-06-19,1315600.0,Pochette summer,0,special,physical,home
2021-08-27,12588.0,Inventa favole Montessori,6000,basic,physical,home
2022-01-30,12588.0,Flashcards della buonanotte,6000,basic,physical,home
2021-12-29,1585250.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-15,1024834.0,Supermercato,14500,basic,physical,home
2022-01-15,1001310.0,Clinica Veterinaria,12500,basic,physical,home
2022-01-31,1183234.0,Primi Passi Personalizzata,12500,basic,physical,home
2021-07-27,440948.0,Trattore,21000,basic,physical,home
2022-01-10,440948.0,Supermercato,14500,basic,physical,home
2021-09-05,217576.0,Registratore di cassa,7000,basic,physical,home
2022-07-07,637222.0,Abrick 100 mattoncini,8000,basic,physical,home
2022-01-26,499024.0,Casetta Pretty,25000,basic,physical,home
2022-01-21,499024.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-20,515224.0,Flashcards della buonanotte,6000,basic,physical,home
2021-09-06,515224.0,Cucina,16000,basic,physical,home
2022-05-16,515224.0,Banchetto Svita Avvita,8000,basic,physical,home
2022-01-06,177096.0,Calendario personalizzato,5500,basic,digital,email
2022-01-14,1173106.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-31,1148410.0,Velocipede Personalizzato,18000,basic,physical,home
2021-11-05,454970.0,Casetta Pretty,25000,basic,physical,home
2022-01-11,278150.0,Supermercato,14500,basic,physical,home
2022-01-28,920722.0,Registratore di cassa,7000,basic,physical,home
2022-01-27,1070472.0,Trattore,21000,basic,physical,home
2022-01-14,451524.0,Registratore di cassa,7000,basic,physical,home
2021-12-30,451524.0,Supermercato,14500,basic,physical,home
2022-01-31,936856.0,Supermercato,14500,basic,physical,home
2021-12-23,694778.0,Velocipede Personalizzato,18000,basic,physical,home
2022-01-14,997242.0,Velocipede,18000,basic,physical,home
2021-09-20,276244.0,Buono sconto MyMi,9000,gift,digital,email
2021-11-30,276244.0,Cucina,16000,basic,physical,home
2021-12-12,375606.0,Cucina,16000,basic,physical,home
2022-08-18,375606.0,Bicicletta,23000,basic,physical,home
2021-07-27,33256.0,Valigetta del dottore,8000,basic,physical,home
2021-04-06,33256.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2021-08-20,33256.0,Trattore,21000,basic,physical,home
2022-01-31,406906.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-31,406906.0,10€ Buono sconto Pampers,9000,basic,physical,home
2022-01-10,395392.0,Inventa favole Montessori,6000,basic,physical,home
2022-01-12,1472186.0,Flashcards della buonanotte,6000,basic,physical,home
2021-12-11,520152.0,Cucina,16000,basic,physical,home
2022-01-31,655362.0,Cucina,16000,basic,physical,home
2021-12-27,233998.0,Calendario personalizzato,5500,basic,digital,email
2022-01-28,355628.0,Banco lavoro,16000,basic,physical,home
2021-11-10,122252.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-18,918094.0,Velocipede,18000,basic,physical,home
2021-12-20,115792.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-29,1219856.0,Playset Aereo,9500,basic,physical,home
2021-04-29,1195352.0,Festa della Mamma: Pochette,0,special,physical,home
2021-06-06,27252.0,Trattore,21000,basic,physical,home
2021-06-27,122078.0,Buono sconto Playmobil,6000,gift,digital,email
2022-01-15,122078.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-24,122078.0,Primi Passi Personalizzata,12500,basic,physical,home
2021-11-16,259468.0,Bicicletta Personalizzata,21000,basic,physical,home
2021-11-27,396634.0,Cucina,16000,basic,physical,home
2022-01-15,396634.0,Buono Sconto Leolandia,0,special,digital,email
2021-08-31,582904.0,Cucina,16000,basic,physical,home
2021-08-31,582904.0,Primi Passi Personalizzata,12500,basic,physical,home
2021-12-28,634160.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-30,634160.0,Clinica Veterinaria,12500,basic,physical,home
2021-08-23,1392742.0,10€ Coupon Hero*,0,special,physical,home
2021-12-01,1230044.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-12-01,1230044.0,Buono Sconto Zac4Kids,3000,gift,digital,email
2022-01-31,1230044.0,Bicicletta Personalizzata,21000,basic,physical,home
2022-01-25,480498.0,Clinica Veterinaria,12500,basic,physical,home
2022-01-11,1235026.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-04,554842.0,Velocipede Personalizzato,18000,basic,physical,home
2021-08-13,1373908.0,Buono sconto Carrera,1000,gift,digital,email
2021-07-14,137316.0,Casetta Pretty,25000,basic,physical,home
2022-01-30,137316.0,Trattore,21000,basic,physical,home
2021-12-06,137316.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-21,586598.0,Cucina,16000,basic,physical,home
2022-01-30,144382.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-30,144382.0,Supermercato,14500,basic,physical,home
2022-01-01,1013328.0,5€ Buono sconto Pampers,5500,basic,physical,home
2021-12-23,1013328.0,Registratore di cassa,7000,basic,physical,home
2022-01-07,577130.0,Cavallino gonfiabile,9500,basic,physical,home
2021-11-22,577130.0,Supermercato,14500,basic,physical,home
2022-01-11,291476.0,Velocipede Personalizzato,18000,basic,physical,home
2022-01-10,712060.0,Trattore,21000,basic,physical,home
2021-12-03,464914.0,Trattore,21000,basic,physical,home
2022-01-05,679962.0,20€ Buono sconto Pampers,14500,basic,physical,home
2021-12-06,679962.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-12-27,679962.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-06,1241474.0,Inventa favole Montessori,6000,basic,physical,home
2022-01-30,73354.0,Cavallino gonfiabile,9500,basic,physical,home
2021-07-03,359492.0,Casetta Pretty,25000,basic,physical,home
2022-05-01,359492.0,Scuola,22000,basic,physical,home
2022-01-07,359492.0,Buono Sconto Photosì,3000,gift,digital,email
2021-12-21,359492.0,Casetta Pretty,25000,basic,physical,home
2022-09-07,359492.0,Monopattino,20000,basic,physical,home
2022-01-31,434472.0,Casetta Pretty,25000,basic,physical,home
2021-11-12,412868.0,Velocipede,18000,basic,physical,home
2021-07-23,629856.0,Primi Passi Personalizzata,12500,basic,physical,home
2022-01-30,959798.0,Playset Aereo,9500,basic,physical,home
2022-01-05,348534.0,Cucina,16000,basic,physical,home
2022-01-16,722220.0,Bicicletta Personalizzata,21000,basic,physical,home
2022-01-12,586106.0,5€ Buono sconto Pampers,5500,basic,physical,home
2021-12-05,586106.0,Bicicletta Personalizzata,21000,basic,physical,home
2022-01-31,419724.0,Trattore,21000,basic,physical,home
2022-01-29,1123538.0,Valigetta del dottore,8000,basic,physical,home
2022-01-22,660542.0,Tazza personalizzata con foto,10000,basic,digital,email
2022-01-11,660542.0,Playset Aereo,9500,basic,physical,home
2022-01-12,650420.0,Supermercato,14500,basic,physical,home
2022-01-12,650420.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-12,650420.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-15,650420.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-31,168286.0,Cucina,16000,basic,physical,home
2021-12-28,172508.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-11,172508.0,Supermercato,14500,basic,physical,home
2021-05-14,1243468.0,Ricettario HERO Solo,0,special,physical,home
2021-12-08,726684.0,Supermercato,14500,basic,physical,home
2022-06-15,726684.0,Ukulele,14000,basic,physical,home
2021-12-29,726684.0,Registratore di cassa,7000,basic,physical,home
2021-12-18,292510.0,Clinica Veterinaria,12500,basic,physical,home
2022-01-17,174808.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-17,1200314.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-17,1200314.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-12-14,259946.0,Cucina,16000,basic,physical,home
2021-08-25,511198.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-15,85276.0,20€ Buono sconto Pampers,14500,basic,physical,home
2022-01-31,85276.0,10€ Buono sconto Pampers,9000,basic,physical,home
